day,revenue,bank,sales_soda,sales_chips
0,27.0,1025.0,12,9
1,35.25,1058.25,13,10
2,35.4,995.65,12,9
3,50.0,911.65,16,12
4,46.75,956.4,13,10
5,45.0,999.4,13,9
6,36.5,1033.9,10,8
7,55.0,926.9000000000001,14,10
8,78.75,895.6500000000001,18,13
9,76.0,569.6500000000001,17,13
10,67.0,634.6500000000001,14,10
11,91.0,723.6500000000001,17,13
12,57.75,779.4000000000001,11,8
13,48.5,825.9000000000001,9,7
14,72.5,896.4000000000001,13,9
15,85.0,763.4000000000001,14,10
16,98.5,559.9000000000001,15,11
17,133.0,410.9000000000001,18,13
18,115.0,163.9000000000001,14,10
19,77.0,238.9000000000001,10,8
20,79.5,316.4000000000001,12,9
21,75.80000000000001,390.2000000000001,11,8
22,96.2,484.4000000000001,13,10
23,124.5,294.9000000000001,17,12
24,131.75,424.6500000000001,17,12
25,124.5,547.1500000000001,15,11
26,60.0,605.1500000000001,8,6
27,90.0,693.1500000000001,12,9
28,127.0,298.1500000000001,16,12
29,119.25,415.4000000000001,14,11
30,137.24,191.44000000000005,15,11
31,116.28,305.72,13,9
32,109.81,413.53000000000003,11,8
33,98.33000000000001,509.86,10,7
34,75.66,124.31999999999996,8,6
35,118.89000000000001,241.20999999999998,12,9
36,175.8,415.01,17,13
37,119.31,532.3199999999999,11,8
38,223.67000000000002,254.7899999999999,19,14
39,240.17000000000002,492.9599999999999,19,14
40,123.83000000000001,614.79,10,7
41,130.82,743.6099999999999,10,8
42,238.58999999999997,380.99999999999983,18,13
43,270.37,649.3699999999999,19,14
44,179.79,515.5599999999998,12,9
45,235.74,429.6999999999998,15,11
46,200.79,628.4899999999998,12,9
47,188.78,815.2699999999998,13,9
48,179.79,993.0599999999997,12,9
49,217.76000000000002,489.61999999999966,14,10
50,248.74,736.3599999999997,15,11
51,337.68,352.83999999999963,18,14
52,300.74,651.5799999999997,15,11
53,339.72,989.2999999999997,16,12
54,169.86,1157.1599999999999,8,6
55,155.86,1311.02,8,6
56,387.68,737.5,18,14
57,367.72,1103.22,16,12
58,395.72,1496.94,16,12
59,268.81,1763.75,11,8
60,363.76,926.31,14,10
61,268.81,1193.12,11,8
62,235.82,1426.9399999999998,10,8
63,339.76,805.4999999999998,14,10
64,453.7,1257.1999999999998,17,13
65,532.67,1787.87,19,14
66,479.71999999999997,2265.5899999999997,16,12
67,543.6999999999999,2807.2899999999995,17,13
68,359.78999999999996,1805.8799999999997,12,9
69,193.88,558.5599999999998,7,5
70,487.82,1044.3799999999999,18,13
71,434.84999999999997,1477.2299999999998,15,11
72,551.81,2027.0399999999997,19,14
73,441.85999999999996,1027.6999999999998,14,11
74,560.8299999999999,1586.5299999999997,17,13
75,395.37,1979.8999999999996,13,9
76,321.9,2299.7999999999997,10,8
77,604.8199999999999,1383.4199999999998,18,14
78,472.35999999999996,1853.7799999999997,14,11
79,620.6999999999999,873.2799999999999,17,13
80,607.72,1479.0,16,12
81,782.6699999999998,2259.67,19,14
82,260.88,2518.55,7,5
83,41.79,2558.34,12,9
84,69.75,1670.8899999999999,18,13
85,55.0,1003.8899999999999,13,9
86,75.0,76.88999999999987,14,11
87,107.25,182.13999999999987,19,14
88,108.5,288.6399999999999,18,13
89,49.0,335.6399999999999,8,6
90,49.0,382.6399999999999,8,6
91,73.5,454.1399999999999,12,9
92,112.0,564.1399999999999,16,12
93,126.0,688.1399999999999,16,12
94,160.0,846.1399999999999,18,14
95,137.5,981.6399999999999,15,11
96,95.0,1074.6399999999999,10,8
